,id,tytułpolski,tytułoryginalny,rokprodukcji,ulubione,ocena,komentarz,krajprodukcji,gatunek,data
0,816979,Na noże,Knives Out,2019,,8,,USA,"Dramat, Komedia kryminalna",2019-12-10
1,275067,Podróż do wnętrza Ziemi,Journey to the Center of the Earth,2008,,1,,USA,"Przygodowy, Sci-Fi",2019-11-11
2,723372,Terminator: Mroczne przeznaczenie,Terminator: Dark Fate,2019,,5,,"Chiny, USA","Akcja, Sci-Fi",2019-11-10
3,816982,To my,Us,2019,,5,,"Chiny, Japonia, USA",Thriller,2019-11-1
4,5203,Droga do Wellville,The Road to Wellville,1994,,7,,"USA, Wielka Brytania","Dramat, Komedia",2019-10-29
5,6876,Król komedii,The King of Comedy,1982,,9,,USA,"Dramat, Komedia",2019-10-20
6,37961,Smokiem i mieczem,George and the Dragon,2004,,6,,"Luksemburg, Niemcy, USA, Wielka Brytania","Fantasy, Przygodowy",2019-10-12
7,810167,Joker,,2019,tak,10,,"Kanada, USA","Dramat, Kryminał",2019-10-8
8,10472,Bilardzista,The Hustler,1961,,9,,USA,Dramat,2019-10-6
9,1033,Chłopcy z ferajny,Goodfellas,1990,,8,,USA,"Dramat, Gangsterski",2019-10-5
10,792557,Ad Astra,,2019,,7,,"Brazylia, Chiny, USA","Thriller, Sci-Fi",2019-9-30
11,809630,Green Book,,2018,,8,,USA,"Dramat, Komedia",2019-9-28
12,777911,Agentka specjalnej troski,Raid dingue,2016,,6,,"Belgia, Francja","Komedia, Akcja",2019-9-19
13,11312,Uciekinier,The Running Man,1987,,8,,USA,"Akcja, Sci-Fi",2019-9-18
14,793838,To: Rozdział 2,It: Chapter Two,2019,,6,,"Kanada, USA",Horror,2019-9-11
15,583006,Mistrz,The Master,2012,,7,,USA,Dramat,2019-9-9
16,32026,Upadek Cesarstwa Rzymskiego,The Fall of the Roman Empire,1964,,6,,USA,"Kostiumowy, Dramat historyczny",2019-9-7
17,33313,Jazon i Argonauci,Jason and the Argonauts,1963,,5,,"USA, Wielka Brytania","Fantasy, Przygodowy",2019-9-4
18,696071,T2: Trainspotting,,2017,,7,,Wielka Brytania,Dramat,2019-9-4
19,804561,Pewnego razu... w Hollywood,Once Upon a Time ... in Hollywood,2019,,8,,"USA, Wielka Brytania","Dramat, Kryminał",2019-9-4
20,829669,Jestem matką,I Am Mother,2019,,5,,Australia,"Thriller, Sci-Fi",2019-8-16
21,741192,Renegaci,Renegades,2017,,3,,"Belgia, Francja, Niemcy, USA",Akcja,2019-8-9
22,776316,Król Lew,The Lion King,2019,,8,,USA,"Animacja, Familijny, Przygodowy",2019-8-5
23,6419,W paszczy szaleństwa,In the Mouth of Madness,1994,,8,,USA,Horror,2019-8-4
24,485620,"Skóra, w której żyję",La Piel que habito,2011,,7,,Hiszpania,"Thriller, Psychologiczny",2019-8-3
25,483446,Dorian Gray,,2009,,8,,Wielka Brytania,"Dramat, Fantasy, Thriller",2019-7-31
26,31326,Hellraiser: Wysłannik piekieł,Hellraiser,1987,,7,,Wielka Brytania,Horror,2019-7-25
27,655799,Porachunki,The Family,2013,,6,,"Francja, USA",Komedia kryminalna,2019-7-14
28,638531,Sekstaśma,Sex Tape,2014,,4,Za siłą wciskany product placement 2 oczka w d&oacute;ł.,USA,Komedia,2019-6-26
29,32071,Zmierzch tytanów,Clash of the Titans,1981,,6,,USA,"Fantasy, Przygodowy",2019-6-14
30,119046,Spacer po linie,Walk the Line,2005,,8,,"Niemcy, USA","Biograficzny, Muzyczny",2019-6-14
31,785620,Zabójcze maszyny,Mortal Engines,2018,,5,,"Nowa Zelandia, USA",Sci-Fi,2019-6-14
32,790542,Avengers: Koniec gry,Avengers: Endgame,2019,,5,,USA,"Akcja, Sci-Fi",2019-5-23
33,698052,San Andreas,,2015,,2,,"Australia, USA",Katastroficzny,2019-5-5
34,795910,Drapacz chmur,Skyscraper,2018,,2,,USA,Akcja,2019-5-4
35,810299,Nic do ukrycia,Le jeu,2018,,4,,Francja,Komedia,2019-5-4
36,792285,Wilkołak,,2018,,8,,"Holandia, Niemcy, Polska","Dramat, Horror",2019-4-8
37,802456,Johnny English: Nokaut,Johnny English Strikes Again,2018,,7,,"Francja, USA, Wielka Brytania","Komedia, Szpiegowski",2019-3-23
38,30700,Nosferatu - symfonia grozy,"Nosferatu, eine Symphonie des Grauens",1922,,9,,Niemcy,"Horror, Niemy",2019-3-16
39,448713,Projekt: Monster,Cloverfield,2008,,9,,USA,"Akcja, Sci-Fi",2019-3-16
40,795520,Źle się dzieje w El Royale,Bad Times at the El Royale,2018,,4,,USA,Thriller,2019-3-16
41,629688,Raid,Serbuan maut,2011,,8,,"Francja, USA, Indonezja",Akcja,2019-3-16
42,700887,Trailer Park Boys 3: Don't Legalize It,,2014,,8,,Kanada,"Dramat, Komedia, Kryminał",2019-3-8
43,8769,Pollock,,2000,,7,,USA,"Biograficzny, Dramat",2019-3-5
44,31568,Vanilla Sky,,2001,,9,,"Hiszpania, USA","Thriller, Romans, Sci-Fi",2019-2-24
45,102,Mafia!,Jane Austen's Mafia!,1998,,4,,USA,Komedia kryminalna,2019-2-22
46,6613,Przystojniak,Johnny Handsome,1989,,7,,USA,"Dramat, Kryminał, Thriller",2019-2-22
47,807157,Upgrade,,2018,,8,,Australia,"Akcja, Sci-Fi",2019-2-16
48,797361,Zwierzęta Ameryki,American Animals,2018,,8,,USA,"Dramat, Kryminał",2019-2-8
49,807561,Czarne bractwo. BlacKkKlansman,BlacKkKlansman,2018,,8,,USA,"Biograficzny, Dramat, Kryminał",2019-1-23
