ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,originalTitle,startYear,genre_eng
816979,Na noże,Knives Out,2019,0,8,USA,"Dramat, Komedia kryminalna",2019-12-10,4.0,Knives Out,2019,"drama, komedia kryminalna"
275067,Podróż do wnętrza Ziemi,Journey to the Center of the Earth,2008,0,1,USA,"Przygodowy, Sci-Fi",2019-11-11,0.5,Journey to the Center of the Earth,2008,"przygodowy, sci-fi"
723372,Terminator: Mroczne przeznaczenie,Terminator: Dark Fate,2019,0,5,"Chiny, USA","Akcja, Sci-Fi",2019-11-10,2.5,Terminator: Dark Fate,2019,"action, sci-fi"
816982,To my,Us,2019,0,5,"Chiny, Japonia, USA",Thriller,2019-11-1,2.5,Us,2019,thriller
5203,Droga do Wellville,The Road to Wellville,1994,0,7,"USA, Wielka Brytania","Dramat, Komedia",2019-10-29,3.5,The Road to Wellville,1994,"drama, comedy"
6876,Król komedii,The King of Comedy,1982,0,9,USA,"Dramat, Komedia",2019-10-20,4.5,The King of Comedy,1982,"drama, comedy"
37961,Smokiem i mieczem,George and the Dragon,2004,0,6,"Luksemburg, Niemcy, USA, Wielka Brytania","Fantasy, Przygodowy",2019-10-12,3.0,George and the Dragon,2004,"fantasy, przygodowy"
810167,Joker,,2019,1,10,"Kanada, USA","Dramat, Kryminał",2019-10-8,5.0,,2019,"drama, crime"
10472,Bilardzista,The Hustler,1961,0,9,USA,Dramat,2019-10-6,4.5,The Hustler,1961,drama
1033,Chłopcy z ferajny,Goodfellas,1990,0,8,USA,"Dramat, Gangsterski",2019-10-5,4.0,Goodfellas,1990,"drama, gangsterski"
792557,Ad Astra,,2019,0,7,"Brazylia, Chiny, USA","Thriller, Sci-Fi",2019-9-30,3.5,,2019,"thriller, sci-fi"
809630,Green Book,,2018,0,8,USA,"Dramat, Komedia",2019-9-28,4.0,,2018,"drama, comedy"
777911,Agentka specjalnej troski,Raid dingue,2016,0,6,"Belgia, Francja","Komedia, Akcja",2019-9-19,3.0,Raid dingue,2016,"comedy, action"
11312,Uciekinier,The Running Man,1987,0,8,USA,"Akcja, Sci-Fi",2019-9-18,4.0,The Running Man,1987,"action, sci-fi"
793838,To: Rozdział 2,It: Chapter Two,2019,0,6,"Kanada, USA",Horror,2019-9-11,3.0,It: Chapter Two,2019,horror
583006,Mistrz,The Master,2012,0,7,USA,Dramat,2019-9-9,3.5,The Master,2012,drama
32026,Upadek Cesarstwa Rzymskiego,The Fall of the Roman Empire,1964,0,6,USA,"Kostiumowy, Dramat historyczny",2019-9-7,3.0,The Fall of the Roman Empire,1964,"costume, dramat historyczny"
33313,Jazon i Argonauci,Jason and the Argonauts,1963,0,5,"USA, Wielka Brytania","Fantasy, Przygodowy",2019-9-4,2.5,Jason and the Argonauts,1963,"fantasy, przygodowy"
696071,T2: Trainspotting,,2017,0,7,Wielka Brytania,Dramat,2019-9-4,3.5,,2017,drama
804561,Pewnego razu... w Hollywood,Once Upon a Time ... in Hollywood,2019,0,8,"USA, Wielka Brytania","Dramat, Kryminał",2019-9-4,4.0,Once Upon a Time ... in Hollywood,2019,"drama, crime"
829669,Jestem matką,I Am Mother,2019,0,5,Australia,"Thriller, Sci-Fi",2019-8-16,2.5,I Am Mother,2019,"thriller, sci-fi"
741192,Renegaci,Renegades,2017,0,3,"Belgia, Francja, Niemcy, USA",Akcja,2019-8-9,1.5,Renegades,2017,action
776316,Król Lew,The Lion King,2019,0,8,USA,"Animacja, Familijny, Przygodowy",2019-8-5,4.0,The Lion King,2019,"animacja, familijny, przygodowy"
6419,W paszczy szaleństwa,In the Mouth of Madness,1994,0,8,USA,Horror,2019-8-4,4.0,In the Mouth of Madness,1994,horror
485620,"Skóra, w której żyję",La Piel que habito,2011,0,7,Hiszpania,"Thriller, Psychologiczny",2019-8-3,3.5,La Piel que habito,2011,"thriller, psychologiczny"
483446,Dorian Gray,,2009,0,8,Wielka Brytania,"Dramat, Fantasy, Thriller",2019-7-31,4.0,,2009,"drama, fantasy, thriller"
31326,Hellraiser: Wysłannik piekieł,Hellraiser,1987,0,7,Wielka Brytania,Horror,2019-7-25,3.5,Hellraiser,1987,horror
655799,Porachunki,The Family,2013,0,6,"Francja, USA",Komedia kryminalna,2019-7-14,3.0,The Family,2013,komedia kryminalna
638531,Sekstaśma,Sex Tape,2014,0,4,USA,Komedia,2019-6-26,2.0,Sex Tape,2014,comedy
32071,Zmierzch tytanów,Clash of the Titans,1981,0,6,USA,"Fantasy, Przygodowy",2019-6-14,3.0,Clash of the Titans,1981,"fantasy, przygodowy"
119046,Spacer po linie,Walk the Line,2005,0,8,"Niemcy, USA","Biograficzny, Muzyczny",2019-6-14,4.0,Walk the Line,2005,"biographic, muzyczny"
785620,Zabójcze maszyny,Mortal Engines,2018,0,5,"Nowa Zelandia, USA",Sci-Fi,2019-6-14,2.5,Mortal Engines,2018,sci-fi
790542,Avengers: Koniec gry,Avengers: Endgame,2019,0,5,USA,"Akcja, Sci-Fi",2019-5-23,2.5,Avengers: Endgame,2019,"action, sci-fi"
698052,San Andreas,,2015,0,2,"Australia, USA",Katastroficzny,2019-5-5,1.0,,2015,disaster
795910,Drapacz chmur,Skyscraper,2018,0,2,USA,Akcja,2019-5-4,1.0,Skyscraper,2018,action
810299,Nic do ukrycia,Le jeu,2018,0,4,Francja,Komedia,2019-5-4,2.0,Le jeu,2018,comedy
792285,Wilkołak,,2018,0,8,"Holandia, Niemcy, Polska","Dramat, Horror",2019-4-8,4.0,,2018,"drama, horror"
802456,Johnny English: Nokaut,Johnny English Strikes Again,2018,0,7,"Francja, USA, Wielka Brytania","Komedia, Szpiegowski",2019-3-23,3.5,Johnny English Strikes Again,2018,"comedy, szpiegowski"
30700,Nosferatu - symfonia grozy,"Nosferatu, eine Symphonie des Grauens",1922,0,9,Niemcy,"Horror, Niemy",2019-3-16,4.5,"Nosferatu, eine Symphonie des Grauens",1922,"horror, silent"
448713,Projekt: Monster,Cloverfield,2008,0,9,USA,"Akcja, Sci-Fi",2019-3-16,4.5,Cloverfield,2008,"action, sci-fi"
795520,Źle się dzieje w El Royale,Bad Times at the El Royale,2018,0,4,USA,Thriller,2019-3-16,2.0,Bad Times at the El Royale,2018,thriller
629688,Raid,Serbuan maut,2011,0,8,"Francja, USA, Indonezja",Akcja,2019-3-16,4.0,Serbuan maut,2011,action
700887,Trailer Park Boys 3: Don't Legalize It,,2014,0,8,Kanada,"Dramat, Komedia, Kryminał",2019-3-8,4.0,,2014,"drama, comedy, crime"
8769,Pollock,,2000,0,7,USA,"Biograficzny, Dramat",2019-3-5,3.5,,2000,"biographic, drama"
31568,Vanilla Sky,,2001,0,9,"Hiszpania, USA","Thriller, Romans, Sci-Fi",2019-2-24,4.5,,2001,"thriller, romance, sci-fi"
102,Mafia!,Jane Austen's Mafia!,1998,0,4,USA,Komedia kryminalna,2019-2-22,2.0,Jane Austen's Mafia!,1998,komedia kryminalna
6613,Przystojniak,Johnny Handsome,1989,0,7,USA,"Dramat, Kryminał, Thriller",2019-2-22,3.5,Johnny Handsome,1989,"drama, crime, thriller"
807157,Upgrade,,2018,0,8,Australia,"Akcja, Sci-Fi",2019-2-16,4.0,,2018,"action, sci-fi"
797361,Zwierzęta Ameryki,American Animals,2018,0,8,USA,"Dramat, Kryminał",2019-2-8,4.0,American Animals,2018,"drama, crime"
807561,Czarne bractwo. BlacKkKlansman,BlacKkKlansman,2018,0,8,USA,"Biograficzny, Dramat, Kryminał",2019-1-23,4.0,BlacKkKlansman,2018,"biographic, drama, crime"
682272,Kingsman: Tajne służby,Kingsman: The Secret Service,2014,0,8,"USA, Wielka Brytania","Akcja, Komedia kryminalna",2019-1-23,4.0,Kingsman: The Secret Service,2014,"action, komedia kryminalna"
1127,Danton,,1982,0,8,"Francja, Polska","Biograficzny, Dramat historyczny",2019-1-13,4.0,,1982,"biographic, dramat historyczny"
69,Idioci,Idioterne,1998,0,8,"Dania, Francja, Hiszpania, Holandia, Szwecja, Włochy","Dramat, Komedia",2019-1-11,4.0,Idioterne,1998,"drama, comedy"
596855,Batman: Rok Pierwszy,Batman: Year One,2011,0,8,USA,"Animacja, Akcja, Sci-Fi",2019-1-6,4.0,Batman: Year One,2011,"animacja, action, sci-fi"
726369,Nie otwieraj oczu,Bird Box,2018,0,7,USA,"Thriller, Sci-Fi",2019-1-6,3.5,Bird Box,2018,"thriller, sci-fi"
549085,Aquaman,,2018,0,5,"Australia, USA","Akcja, Sci-Fi",2019-1-3,2.5,,2018,"action, sci-fi"
714387,Power Rangers,,2017,0,7,"Hongkong, Japonia, Kanada, Meksyk, Nowa Zelandia, USA","Akcja, Sci-Fi",2019-1-2,3.5,,2017,"action, sci-fi"
519906,Venom,,2018,0,7,"Chiny, USA","Akcja, Sci-Fi",2018-12-27,3.5,,2018,"action, sci-fi"
797584,Day of the Dead: Bloodline,,2018,0,3,"USA, Bułgaria",Horror,2018-12-20,1.5,,2018,horror
38828,Maniakalny gliniarz,Maniac Cop,1988,0,6,USA,Horror,2018-12-19,3.0,Maniac Cop,1988,horror
33861,Hidalgo - ocean ognia,Hidalgo,2004,0,6,USA,Przygodowy,2018-12-16,3.0,Hidalgo,2004,przygodowy
30921,Spadaj na ziemię,Down to Earth,2001,0,4,"Kanada, Niemcy, USA",Komedia,2018-12-15,2.0,Down to Earth,2001,comedy
11951,Zardoz,,1974,0,8,Wielka Brytania,Sci-Fi,2018-12-12,4.0,,1974,sci-fi
714713,Patient Zero,,2018,0,5,Wielka Brytania,Horror,2018-12-8,2.5,,2018,horror
657891,Blue Jasmine,,2013,0,7,USA,Dramat,2018-12-8,3.5,,2013,drama
493189,Samotny mężczyzna,A Single Man,2009,0,8,USA,Dramat,2018-12-8,4.0,A Single Man,2009,drama
34942,Henry - Portret seryjnego mordercy,Henry: Portrait of a Serial Killer,1986,0,8,USA,"Kryminał, Thriller",2018-12-1,4.0,Henry: Portrait of a Serial Killer,1986,"crime, thriller"
530029,Idy marcowe,The Ides of March,2011,0,7,USA,"Dramat, Polityczny",2018-12-1,3.5,The Ides of March,2011,"drama, polityczny"
107554,Nadchodzi Polly,Along Came Polly,2004,0,6,USA,Komedia rom.,2018-12-1,3.0,Along Came Polly,2004,komedia rom.
479892,Mary i Max,Mary and Max,2009,0,8,Australia,"Animacja, Dramat, Komedia",2018-12-1,4.0,Mary and Max,2009,"animacja, drama, comedy"
19,Boogie Nights,,1997,0,7,USA,Dramat,2018-11-28,3.5,,1997,drama
803331,Mandy,,2018,0,6,"Belgia, USA, Wielka Brytania",Horror,2018-11-24,3.0,,2018,horror
32580,Straż wiejska,Super Troopers,2001,0,8,USA,Komedia kryminalna,2018-11-19,4.0,Super Troopers,2001,komedia kryminalna
98140,Miasteczko Salem,'Salem's Lot,2004,0,7,USA,Horror,2018-11-18,3.5,'Salem's Lot,2004,horror
393843,Straż wiejska 2,Super Troopers 2,2018,0,8,USA,Komedia kryminalna,2018-11-17,4.0,Super Troopers 2,2018,komedia kryminalna
710839,Areszt domowy,Housebound,2014,0,9,Nowa Zelandia,"Horror, Komedia",2018-11-12,4.5,Housebound,2014,"horror, comedy"
767751,Przebudzenie dusz,Ghost Stories,2017,0,7,Wielka Brytania,Horror,2018-11-11,3.5,Ghost Stories,2017,horror
716735,Gra Geralda,Gerald's Game,2017,0,7,USA,Thriller,2018-11-10,3.5,Gerald's Game,2017,thriller
143537,Seks to nie wszystko,Lie with Me,2005,0,3,Kanada,"Erotyczny, Melodramat",2018-11-10,1.5,Lie with Me,2005,"erotyczny, melodramat"
743465,Pustka,The Void,2016,0,9,Kanada,Horror,2018-10-31,4.5,The Void,2016,horror
810503,7 uczuć,,2018,0,8,Polska,"Dramat, Komedia",2018-10-31,4.0,,2018,"drama, comedy"
760651,Hotel Transylwania 3,Hotel Transylvania 3: Summer Vacation,2018,0,7,USA,"Animacja, Familijny, Komedia",2018-10-18,3.5,Hotel Transylvania 3: Summer Vacation,2018,"animacja, familijny, comedy"
736411,Baby Driver,,2017,0,4,"USA, Wielka Brytania","Komedia, Akcja",2018-10-17,2.0,,2017,"comedy, action"
8277,Odległy ląd,Outland,1981,0,5,Wielka Brytania,"Sensacyjny, Sci-Fi",2018-10-9,2.5,Outland,1981,"sensacyjny, sci-fi"
9239,Rosencrantz i Guildenstern nie żyją,Rosencrantz & Guildenstern Are Dead,1990,0,8,"USA, Wielka Brytania","Dramat, Komedia",2018-10-9,4.0,Rosencrantz & Guildenstern Are Dead,1990,"drama, comedy"
11917,"Zagraj to jeszcze raz, Sam","Play It Again, Sam",1972,0,8,USA,Komedia,2018-10-9,4.0,"Play It Again, Sam",1972,comedy
726013,"Człowiek, który zabił Don Kichota",The Man Who Killed Don Quixote,2018,0,8,"Belgia, Francja, Hiszpania, Portugalia, Wielka Brytania","Komedia, Przygodowy",2018-9-28,4.0,The Man Who Killed Don Quixote,2018,"comedy, przygodowy"
723027,Predator,The Predator,2018,0,7,"Kanada, USA","Akcja, Sci-Fi",2018-9-27,3.5,The Predator,2018,"action, sci-fi"
795665,Juliusz,,2018,0,7,Polska,Komedia,2018-9-20,3.5,,2018,comedy
107642,Casino Royale,,2006,0,7,"Czechy, Niemcy, USA, Wielka Brytania, Bahamy",Sensacyjny,2018-9-13,3.5,,2006,sensacyjny
807784,A może by tak trójkącik?,Le trip à trois,2017,0,7,Kanada,Komedia,2018-9-6,3.5,Le trip à trois,2017,comedy
729157,Czarownica: Bajka ludowa z Nowej Anglii,The VVitch: A New-England Folktale,2015,0,8,"Brazylia, Kanada, USA, Wielka Brytania",Horror,2018-9-5,4.0,The VVitch: A New-England Folktale,2015,horror
474708,Agora,Ágora,2009,0,9,Hiszpania,Dramat historyczny,2018-8-18,4.5,Ágora,2009,dramat historyczny
102598,Wij,Viy,1967,0,8,ZSRR,"Fantasy, Horror",2018-8-18,4.0,Viy,1967,"fantasy, horror"
139428,Idiokracja,Idiocracy,2006,0,7,USA,"Komedia, Sci-Fi",2018-8-18,3.5,Idiocracy,2006,"comedy, sci-fi"
33288,Spirited Away: W krainie Bogów,Sen to Chihiro no Kamikakushi,2001,0,8,Japonia,"Fantasy, Przygodowy, Anime",2018-8-17,4.0,Sen to Chihiro no Kamikakushi,2001,"fantasy, przygodowy, anime"
657525,Wielki Mur,The Great Wall,2016,0,3,"Australia, Chiny, Hongkong, Kanada, USA","Fantasy, Przygodowy",2018-8-16,1.5,The Great Wall,2016,"fantasy, przygodowy"
607382,Wada ukryta,Inherent Vice,2014,0,7,USA,Kryminał,2018-8-13,3.5,Inherent Vice,2014,crime
803413,Neapol spowity tajemnicą,Napoli velata,2017,0,7,Włochy,Thriller,2018-8-3,3.5,Napoli velata,2017,thriller
658317,Wielkie piękno,La grande bellezza,2013,0,9,"Francja, Włochy","Dramat, Komedia",2018-8-3,4.5,La grande bellezza,2013,"drama, comedy"
119849,Koniec świata,Southland Tales,2006,0,10,"Francja, Niemcy, USA","Dramat, Komedia, Sci-Fi",2018-7-30,5.0,Southland Tales,2006,"drama, comedy, sci-fi"
563486,Pionek,Pawn Sacrifice,2014,0,8,USA,"Biograficzny, Dramat",2018-7-29,4.0,Pawn Sacrifice,2014,"biographic, drama"
791088,Berek,Tag,2018,0,6,USA,Komedia,2018-7-26,3.0,Tag,2018,comedy
238307,Wij,Viy,2014,0,7,"Czechy, Niemcy, Rosja, Ukraina, Wielka Brytania","Fantasy, Przygodowy",2018-7-2,3.5,Viy,2014,"fantasy, przygodowy"
707938,Spring,,2014,0,9,USA,"Horror, Romans, Sci-Fi",2018-6-26,4.5,,2014,"horror, romance, sci-fi"
809298,The Hollow Child,,2017,0,3,Kanada,Thriller,2018-6-23,1.5,,2017,thriller
802930,Dziedzictwo. Hereditary,Hereditary,2018,0,6,USA,"Dramat, Horror",2018-6-23,3.0,Hereditary,2018,"drama, horror"
795734,Endless,The Endless,2017,0,8,USA,"Horror, Sci-Fi",2018-6-23,4.0,The Endless,2017,"horror, sci-fi"
807467,Zemsta,Revenge,2017,0,8,"Belgia, Francja","Thriller, Akcja",2018-6-23,4.0,Revenge,2017,"thriller, action"
758909,Jurassic World: Upadłe królestwo,Jurassic World: Fallen Kingdom,2018,0,7,USA,"Przygodowy, Sci-Fi",2018-6-13,3.5,Jurassic World: Fallen Kingdom,2018,"przygodowy, sci-fi"
772805,Atak paniki,,2017,0,3,Polska,"Dramat, Komedia",2018-6-10,1.5,,2017,"drama, comedy"
258739,Krudowie,The Croods,2013,0,5,USA,"Animacja, Familijny, Komedia, Przygodowy",2018-6-3,2.5,The Croods,2013,"animacja, familijny, comedy, przygodowy"
121935,Przez ciemne zwierciadło,A Scanner Darkly,2006,0,8,USA,"Animacja, Thriller, Sci-Fi",2018-6-2,4.0,A Scanner Darkly,2006,"animacja, thriller, sci-fi"
660451,Pod Mocnym Aniołem,,2014,0,6,Polska,Dramat,2018-6-1,3.0,,2014,drama
714149,Han Solo: Gwiezdne wojny - historie,Solo: A Star Wars Story,2018,0,6,USA,"Przygodowy, Sci-Fi",2018-5-30,3.0,Solo: A Star Wars Story,2018,"przygodowy, sci-fi"
604188,Apollo 18,,2011,0,6,"Kanada, USA","Thriller, Sci-Fi",2018-5-27,3.0,,2011,"thriller, sci-fi"
451718,Sposób na gangstera,Perrier's Bounty,2009,0,6,"Irlandia, Wielka Brytania","Dramat, Komedia kryminalna",2018-5-6,3.0,Perrier's Bounty,2009,"drama, komedia kryminalna"
775228,Nigdy cię tu nie było,You Were Never Really Here,2017,0,8,"Francja, USA, Wielka Brytania","Dramat, Thriller",2018-5-5,4.0,You Were Never Really Here,2017,"drama, thriller"
757913,Wieczór gier,Game Night,2018,1,8,USA,Komedia,2018-4-25,4.0,Game Night,2018,comedy
33325,Lewy sercowy,Punch-Drunk Love,2002,0,8,USA,"Dramat, Komedia, Romans",2018-4-20,4.0,Punch-Drunk Love,2002,"drama, comedy, romance"
795912,Ciche miejsce,A Quiet Place,2018,0,6,USA,"Horror, Sci-Fi",2018-4-19,3.0,A Quiet Place,2018,"horror, sci-fi"
625060,Byzantium,,2012,0,7,"Irlandia, USA, Wielka Brytania","Dramat, Horror",2018-4-6,3.5,,2012,"drama, horror"
5176,Poza prawem,Down by Law,1986,0,6,"USA, RFN","Dramat, Komedia kryminalna",2018-4-6,3.0,Down by Law,1986,"drama, komedia kryminalna"
597224,Strażnicy marzeń,Rise of the Guardians,2012,0,6,USA,"Animacja, Familijny, Fantasy, Przygodowy",2018-4-6,3.0,Rise of the Guardians,2012,"animacja, familijny, fantasy, przygodowy"
712974,Baranek Shaun. Film,Shaun the Sheep Movie,2015,0,6,"Francja, Wielka Brytania","Animacja, Familijny, Przygodowy",2018-4-6,3.0,Shaun the Sheep Movie,2015,"animacja, familijny, przygodowy"
