ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,originalTitle,startYear,genre_eng,titleType,primaryTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes,similarity,diff,averageRating_int
1002,Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,1994,1,9,USA,"Dramat, Horror",2010-6-1,Interview with the Vampire: The Vampire Chronicles,1994,"drama, horror",movie,Interview with the Vampire: The Vampire Chronicles,0,\N,123,"Drama,Horror",7.6,280372,0,1.4000000000000004,8
100557,"Ladykillers, czyli zabójczy kwintet",The Ladykillers,2004,0,7,USA,Komedia kryminalna,2014-6-3,The Ladykillers,2004,komedia kryminalna,movie,The Ladykillers,0,\N,104,"Comedy,Crime,Thriller",6.2,95366,0,0.7999999999999998,6
1007,Urodzony 4 lipca,Born on the Fourth of July,1989,1,9,USA,"Biograficzny, Dramat",2010-6-1,Born on the Fourth of July,1989,"biographic, drama",movie,Born on the Fourth of July,0,\N,145,"Biography,Drama,War",7.2,91931,0,1.7999999999999998,7
1019,Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,1975,1,9,USA,"Dramat, Psychologiczny",2010-6-1,One Flew Over the Cuckoo's Nest,1975,"drama, psychologiczny",movie,One Flew Over the Cuckoo's Nest,0,\N,133,Drama,8.7,856635,0,0.3000000000000007,9
102,Mafia!,Jane Austen's Mafia!,1998,0,4,USA,Komedia kryminalna,2019-2-22,Jane Austen's Mafia!,1998,komedia kryminalna,movie,Mafia!,0,\N,87,"Comedy,Crime",5.6,14059,0,-1.5999999999999996,6
1020,Lśnienie,The Shining,1980,1,9,"USA, Wielka Brytania",Horror,2010-6-1,The Shining,1980,horror,movie,The Shining,0,\N,146,"Drama,Horror",8.4,823146,0,0.5999999999999996,8
10213,Święci z Bostonu,The Boondock Saints,1999,0,6,"Kanada, USA",Sensacyjny,2015-10-30,The Boondock Saints,1999,sensacyjny,movie,The Boondock Saints,0,\N,108,"Action,Crime,Thriller",7.8,219928,0,-1.7999999999999998,8
1022,Czułe słówka,Terms of Endearment,1983,0,8,USA,"Dramat, Komedia, Romans",2016-10-20,Terms of Endearment,1983,"drama, comedy, romance",movie,Terms of Endearment,0,\N,132,"Comedy,Drama",7.4,50938,0,0.5999999999999996,7
102598,Wij,Viy,1967,0,8,ZSRR,"Fantasy, Horror",2018-8-18,Viy,1967,"fantasy, horror",movie,Viy,0,\N,77,"Drama,Fantasy,Horror",7.4,5088,0,0.5999999999999996,7
1033,Chłopcy z ferajny,Goodfellas,1990,0,8,USA,"Dramat, Gangsterski",2019-10-5,Goodfellas,1990,"drama, gangsterski",movie,Goodfellas,0,\N,146,"Biography,Crime,Drama",8.7,941814,0,-0.6999999999999993,9
103997,Skarb narodów,National Treasure,2004,0,3,USA,Przygodowy,2010-6-1,National Treasure,2004,przygodowy,movie,National Treasure,0,\N,131,"Action,Adventure,Mystery",6.8,290414,0,-3.8,7
104010,Osada,The Village,2004,1,9,USA,Thriller,2013-5-18,The Village,2004,thriller,movie,The Village,0,\N,108,"Drama,Mystery,Thriller",6.5,232393,0,2.5,6
1045,Łowca jeleni,The Deer Hunter,1978,0,8,"USA, Wielka Brytania","Dramat, Wojenny",2010-6-1,The Deer Hunter,1978,"drama, war",movie,The Deer Hunter,0,\N,183,"Drama,War",8.1,291941,0,-0.09999999999999964,8
