,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movieId,tmdbId,link,ml_title,ml_genres,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,76,"Fantasy,Horror,Mystery",8.1,51963,6987,234,https://www.imdb.com/title/tt0010323/,0010323,234,30689,Gabinet doktora Caligari,Das Cabinet des Dr. Caligari,1920,0,10,Niemcy,"Horror, Niemy",2013-9-4,2013,5.0,"horror, silent",0,1.9000000000000004,8
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,\N,94,"Fantasy,Horror",7.9,83262,1348,653,https://www.imdb.com/title/tt0013442/,0013442,653,30700,Nosferatu - symfonia grozy,"Nosferatu, eine Symphonie des Grauens",1922,0,9,Niemcy,"Horror, Niemy",2019-3-16,2019,4.5,"horror, silent",0,1.0999999999999996,8
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,\N,119,"Drama,Mystery",8.3,373599,923,15,https://www.imdb.com/title/tt0033467/,0033467,15,31279,Obywatel Kane,Citizen Kane,1941,0,9,USA,Dramat,2017-2-4,2017,4.5,drama,0,0.6999999999999993,8
tt0044081,movie,A Streetcar Named Desire,A Streetcar Named Desire,0,1951,\N,122,Drama,8.0,93635,1104,702,https://www.imdb.com/title/tt0044081/,0044081,702,11173,Tramwaj zwany pożądaniem,A Streetcar Named Desire,1951,0,8,USA,Dramat,2015-2-16,2015,4.0,drama,0,0.0,8
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957,\N,96,Drama,8.9,631627,1203,389,https://www.imdb.com/title/tt0050083/,0050083,389,30701,Dwunastu gniewnych ludzi,12 Angry Men,1957,0,10,USA,Dramat sądowy,2018-3-11,2018,5.0,dramat sądowy,0,1.0999999999999996,9
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,0,1957,\N,96,"Drama,Fantasy",8.2,148717,1237,490,https://www.imdb.com/title/tt0050976/,0050976,490,1454,Siódma pieczęć,Det sjunde inseglet,1957,0,10,Szwecja,Dramat,2015-9-7,2015,5.0,drama,0,1.8000000000000007,8
tt0054215,movie,Psycho,Psycho,0,1960,\N,109,"Horror,Mystery,Thriller",8.5,558243,1219,539,https://www.imdb.com/title/tt0054215/,0054215,539,1321,Psychoza,Psycho,1960,0,8,USA,Thriller,2017-4-14,2017,4.0,thriller,0,-0.5,8
tt0054331,movie,Spartacus,Spartacus,0,1960,\N,197,"Adventure,Biography,Drama",7.9,116375,2728,967,https://www.imdb.com/title/tt0054331/,0054331,967,9683,Spartakus,Spartacus,1960,0,8,USA,"Biograficzny, Dramat historyczny",2010-6-1,2010,4.0,"biographic, dramat historyczny",0,0.09999999999999964,8
tt0054997,movie,The Hustler,The Hustler,0,1961,\N,134,"Drama,Sport",8.0,71865,3468,990,https://www.imdb.com/title/tt0054997/,0054997,990,10472,Bilardzista,The Hustler,1961,0,9,USA,Dramat,2019-10-6,2019,4.5,drama,0,1.0,8
tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,1964,\N,95,Comedy,8.4,425674,750,935,https://www.imdb.com/title/tt0057012/,0057012,935,5185,"Doktor Strangelove, lub jak przestałem się martwić i pokochałem bombę",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0,8,"USA, Wielka Brytania",Satyra,2010-6-1,2010,4.0,satyra,0,-0.40000000000000036,8
