tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,genre_eng,similarity,diff,averageRating_int
tt0110148,movie,Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire: The Vampire Chronicles,0,1994,\N,123,"Drama,Horror",7.6,280468,1002,Wywiad z wampirem,Interview with the Vampire: The Vampire Chronicles,1994,1,9,USA,"Dramat, Horror",2010-6-1,2010,4.5,['USA'],"drama, horror",0,1.4000000000000004,8
tt0335245,movie,The Ladykillers,The Ladykillers,0,2004,\N,104,"Comedy,Crime,Thriller",6.2,95384,100557,"Ladykillers, czyli zabójczy kwintet",The Ladykillers,2004,0,7,USA,Komedia kryminalna,2014-6-3,2014,3.5,['USA'],komedia kryminalna,0,0.7999999999999998,6
tt0096969,movie,Born on the Fourth of July,Born on the Fourth of July,0,1989,\N,145,"Biography,Drama,War",7.2,91961,1007,Urodzony 4 lipca,Born on the Fourth of July,1989,1,9,USA,"Biograficzny, Dramat",2010-6-1,2010,4.5,['USA'],"biographic, drama",0,1.7999999999999998,7
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,\N,133,Drama,8.7,856923,1019,Lot nad kukułczym gniazdem,One Flew Over the Cuckoo's Nest,1975,1,9,USA,"Dramat, Psychologiczny",2010-6-1,2010,4.5,['USA'],"drama, psychologiczny",0,0.3000000000000007,9
tt0120741,movie,Mafia!,Jane Austen's Mafia!,0,1998,\N,87,"Comedy,Crime",5.6,14059,102,Mafia!,Jane Austen's Mafia!,1998,0,4,USA,Komedia kryminalna,2019-2-22,2019,2.0,['USA'],komedia kryminalna,0,-1.5999999999999996,6
tt0081505,movie,The Shining,The Shining,0,1980,\N,146,"Drama,Horror",8.4,823572,1020,Lśnienie,The Shining,1980,1,9,"USA, Wielka Brytania",Horror,2010-6-1,2010,4.5,"['USA', 'GBR']",horror,0,0.5999999999999996,8
tt0144117,movie,The Boondock Saints,The Boondock Saints,0,1999,\N,108,"Action,Crime,Thriller",7.8,219968,10213,Święci z Bostonu,The Boondock Saints,1999,0,6,"Kanada, USA",Sensacyjny,2015-10-30,2015,3.0,"['CAN', 'USA']",sensacyjny,0,-1.7999999999999998,8
tt0086425,movie,Terms of Endearment,Terms of Endearment,0,1983,\N,132,"Comedy,Drama",7.4,50961,1022,Czułe słówka,Terms of Endearment,1983,0,8,USA,"Dramat, Komedia, Romans",2016-10-20,2016,4.0,['USA'],"drama, comedy, romance",0,0.5999999999999996,7
tt0062453,movie,Viy,Viy,0,1967,\N,77,"Drama,Fantasy,Horror",7.4,5092,102598,Wij,Viy,1967,0,8,ZSRR,"Fantasy, Horror",2018-8-18,2018,4.0,['UNK'],"fantasy, horror",0,0.5999999999999996,7
tt0099685,movie,Goodfellas,Goodfellas,0,1990,\N,146,"Biography,Crime,Drama",8.7,942289,1033,Chłopcy z ferajny,Goodfellas,1990,0,8,USA,"Dramat, Gangsterski",2019-10-5,2019,4.0,['USA'],"drama, gangsterski",0,-0.6999999999999993,9
