ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
810167,Joker,,2019,,7,,"Kanada, USA","Dramat, Kryminał, Akcja",2019-10-11
796158,"Podły, okrutny, zły","Extremely Wicked, Shockingly Evil and Vile",2019,,6,,USA,"Biograficzny, Kryminał, Thriller",2019-10-6
753119,Prosta historia o morderstwie,,2016,,3,,Polska,"Kryminał, Thriller",2019-10-5
797600,"Ciemno, prawie noc",,2019,,2,,Polska,"Kryminał, Thriller",2019-10-5
460220,Wyznania zakupoholiczki,Confessions of a Shopaholic,2009,,3,,USA,Komedia rom.,2019-10-4
825221,W cieniu księżyca,In the Shadow of the Moon,2019,,5,,USA,"Thriller, Sci-Fi",2019-10-2
830386,The Wolf Hour,,2019,,4,,"USA, Wielka Brytania",Thriller,2019-10-2
824402,Ma,,2019,,4,,USA,Horror,2019-9-30
838822,Between Two Ferns: Film,Between Two Ferns: The Movie,2019,,6,,USA,Komedia,2019-9-24
807159,Słodki koniec dnia,,2019,,5,,Polska,Dramat,2019-9-24
785552,X-Men: Mroczna Phoenix,Dark Phoenix,2019,,6,,USA,"Akcja, Sci-Fi",2019-9-22
786702,Król polki,The Polka King,2017,,6,,USA,Komedia,2019-9-22
118439,Dick i Jane: Niezły ubaw,Fun with Dick and Jane,2005,,6,,USA,Komedia kryminalna,2019-9-17
812781,Śmierć nadejdzie dziś 2,Happy Death Day 2U,2019,,6,,USA,"Horror, Komedia",2019-9-16
774799,Ingrid wyrusza na zachód,Ingrid Goes West,2017,,6,,USA,"Dramat, Komedia",2019-9-15
30907,Jay i Cichy Bob kontratakują,Jay and Silent Bob Strike Back,2001,,7,,USA,Komedia,2019-9-15
793838,To: Rozdział 2,It: Chapter Two,2019,,6,,"Kanada, USA",Horror,2019-9-11
782923,Zły Samarytanin,Bad Samaritan,2018,,5,,USA,Thriller,2019-8-29
811261,Greta,,2018,,4,,"Irlandia, USA",Thriller,2019-8-26
720753,Godzilla II: Król potworów,Godzilla: King of the Monsters,2019,,2,,"Japonia, USA","Akcja, Sci-Fi",2019-8-26
37,Desperatki,Set It Off,1996,,6,,USA,"Dramat, Sensacyjny, Thriller",2019-8-24
800273,Projekt Koliber,The Hummingbird Project,2018,,5,,Kanada,Thriller,2019-8-21
796540,Bajecznie bogaci Azjaci,Crazy Rich Asians,2018,,4,,USA,Komedia,2019-8-15
88838,Kaliber 45,.45,2006,,3,,USA,"Dramat, Thriller",2019-8-15
790359,Hellboy,,2019,,5,,"USA, Wielka Brytania, Bułgaria","Fantasy, Akcja",2019-8-14
794201,Piercing,,2018,,3,,USA,Thriller,2019-8-12
416984,The Hurt Locker. W pułapce wojny,The Hurt Locker,2008,,7,,USA,"Dramat, Wojenny",2019-8-8
