ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,originalTitle,startYear,genre_eng
810167,Joker,,2019,0,7,"Kanada, USA","Dramat, Kryminał, Akcja",2019-10-11,3.5,,2019,"drama, crime, action"
796158,"Podły, okrutny, zły","Extremely Wicked, Shockingly Evil and Vile",2019,0,6,USA,"Biograficzny, Kryminał, Thriller",2019-10-6,3.0,"Extremely Wicked, Shockingly Evil and Vile",2019,"biographic, crime, thriller"
753119,Prosta historia o morderstwie,,2016,0,3,Polska,"Kryminał, Thriller",2019-10-5,1.5,,2016,"crime, thriller"
797600,"Ciemno, prawie noc",,2019,0,2,Polska,"Kryminał, Thriller",2019-10-5,1.0,,2019,"crime, thriller"
460220,Wyznania zakupoholiczki,Confessions of a Shopaholic,2009,0,3,USA,Komedia rom.,2019-10-4,1.5,Confessions of a Shopaholic,2009,komedia rom.
825221,W cieniu księżyca,In the Shadow of the Moon,2019,0,5,USA,"Thriller, Sci-Fi",2019-10-2,2.5,In the Shadow of the Moon,2019,"thriller, sci-fi"
830386,The Wolf Hour,,2019,0,4,"USA, Wielka Brytania",Thriller,2019-10-2,2.0,,2019,thriller
824402,Ma,,2019,0,4,USA,Horror,2019-9-30,2.0,,2019,horror
838822,Between Two Ferns: Film,Between Two Ferns: The Movie,2019,0,6,USA,Komedia,2019-9-24,3.0,Between Two Ferns: The Movie,2019,comedy
807159,Słodki koniec dnia,,2019,0,5,Polska,Dramat,2019-9-24,2.5,,2019,drama
785552,X-Men: Mroczna Phoenix,Dark Phoenix,2019,0,6,USA,"Akcja, Sci-Fi",2019-9-22,3.0,Dark Phoenix,2019,"action, sci-fi"
786702,Król polki,The Polka King,2017,0,6,USA,Komedia,2019-9-22,3.0,The Polka King,2017,comedy
118439,Dick i Jane: Niezły ubaw,Fun with Dick and Jane,2005,0,6,USA,Komedia kryminalna,2019-9-17,3.0,Fun with Dick and Jane,2005,komedia kryminalna
812781,Śmierć nadejdzie dziś 2,Happy Death Day 2U,2019,0,6,USA,"Horror, Komedia",2019-9-16,3.0,Happy Death Day 2U,2019,"horror, comedy"
774799,Ingrid wyrusza na zachód,Ingrid Goes West,2017,0,6,USA,"Dramat, Komedia",2019-9-15,3.0,Ingrid Goes West,2017,"drama, comedy"
30907,Jay i Cichy Bob kontratakują,Jay and Silent Bob Strike Back,2001,0,7,USA,Komedia,2019-9-15,3.5,Jay and Silent Bob Strike Back,2001,comedy
793838,To: Rozdział 2,It: Chapter Two,2019,0,6,"Kanada, USA",Horror,2019-9-11,3.0,It: Chapter Two,2019,horror
782923,Zły Samarytanin,Bad Samaritan,2018,0,5,USA,Thriller,2019-8-29,2.5,Bad Samaritan,2018,thriller
811261,Greta,,2018,0,4,"Irlandia, USA",Thriller,2019-8-26,2.0,,2018,thriller
720753,Godzilla II: Król potworów,Godzilla: King of the Monsters,2019,0,2,"Japonia, USA","Akcja, Sci-Fi",2019-8-26,1.0,Godzilla: King of the Monsters,2019,"action, sci-fi"
37,Desperatki,Set It Off,1996,0,6,USA,"Dramat, Sensacyjny, Thriller",2019-8-24,3.0,Set It Off,1996,"drama, sensacyjny, thriller"
800273,Projekt Koliber,The Hummingbird Project,2018,0,5,Kanada,Thriller,2019-8-21,2.5,The Hummingbird Project,2018,thriller
796540,Bajecznie bogaci Azjaci,Crazy Rich Asians,2018,0,4,USA,Komedia,2019-8-15,2.0,Crazy Rich Asians,2018,comedy
88838,Kaliber 45,.45,2006,0,3,USA,"Dramat, Thriller",2019-8-15,1.5,.45,2006,"drama, thriller"
790359,Hellboy,,2019,0,5,"USA, Wielka Brytania, Bułgaria","Fantasy, Akcja",2019-8-14,2.5,,2019,"fantasy, action"
794201,Piercing,,2018,0,3,USA,Thriller,2019-8-12,1.5,,2018,thriller
416984,The Hurt Locker. W pułapce wojny,The Hurt Locker,2008,0,7,USA,"Dramat, Wojenny",2019-8-8,3.5,The Hurt Locker,2008,"drama, war"
7967,Na fali,Point Break,1991,0,7,USA,Sensacyjny,2019-8-8,3.5,Point Break,1991,sensacyjny
209978,Zabójstwo Jesse'ego Jamesa przez tchórzliwego Roberta Forda,The Assassination of Jesse James by the Coward Robert Ford,2007,0,7,"Kanada, USA, Wielka Brytania","Biograficzny, Dramat, Western",2019-8-5,3.5,The Assassination of Jesse James by the Coward Robert Ford,2007,"biographic, drama, western"
795456,Clara,,2018,0,5,"Kanada, USA","Romans, Sci-Fi",2019-8-5,2.5,,2018,"romance, sci-fi"
804145,Styks,Styx,2018,0,5,"Austria, Niemcy",Dramat,2019-8-5,2.5,Styx,2018,drama
773277,Pusty i głupi gest,A Futile and Stupid Gesture,2018,0,5,USA,"Biograficzny, Komedia",2019-8-2,2.5,A Futile and Stupid Gesture,2018,"biographic, comedy"
797588,Przedszkolanka,The Kindergarten Teacher,2018,0,7,USA,Dramat,2019-8-1,3.5,The Kindergarten Teacher,2018,drama
835700,Syn,El hijo,2019,0,6,Argentyna,Thriller,2019-7-30,3.0,El hijo,2019,thriller
785625,Kin. Zabójcza broń,Kin,2018,0,6,USA,"Akcja, Sci-Fi",2019-7-30,3.0,Kin,2018,"action, sci-fi"
570380,Kupiliśmy zoo,We Bought a Zoo,2011,0,6,USA,"Dramat, Komedia",2019-7-28,3.0,We Bought a Zoo,2011,"drama, comedy"
794194,W deszczowy dzień w Nowym Jorku,A Rainy Day in New York,2019,0,8,USA,Komedia,2019-7-28,4.0,A Rainy Day in New York,2019,comedy
322665,Człowiek z Ziemi,The Man from Earth,2007,0,5,USA,"Dramat, Sci-Fi",2019-7-28,2.5,The Man from Earth,2007,"drama, sci-fi"
186910,Smętarz dla zwierzaków,Pet Sematary,2019,0,3,USA,Horror,2019-7-15,1.5,Pet Sematary,2019,horror
