tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt0118971,movie,The Devil's Advocate,The Devil's Advocate,0,1997,\N,144,"Drama,Mystery,Thriller",7.5,309766,2,Adwokat diabła,The Devil's Advocate,1997,0,7,"Niemcy, USA",Thriller,2011-8-4,3.5,thriller,0,-0.5,8
tt0117603,movie,Set It Off,Set It Off,0,1996,\N,123,"Action,Crime,Drama",6.9,12984,37,Desperatki,Set It Off,1996,0,6,USA,"Dramat, Sensacyjny, Thriller",2019-8-24,3.0,"drama, sensacyjny, thriller",0,-0.9000000000000004,7
tt0119643,movie,Meet Joe Black,Meet Joe Black,0,1998,\N,178,"Drama,Fantasy,Romance",7.2,200799,74,Joe Black,Meet Joe Black,1998,0,3,USA,"Fantasy, Melodramat",2019-1-1,1.5,"fantasy, melodramat",0,-4.2,7
tt0120787,movie,A Perfect Murder,A Perfect Murder,0,1998,\N,107,"Crime,Drama,Thriller",6.5,75000,122,Morderstwo doskonałe,A Perfect Murder,1998,0,8,USA,Thriller,2011-10-22,4.0,thriller,0,1.5,6
tt0119116,movie,The Fifth Element,The Fifth Element,0,1997,\N,126,"Action,Adventure,Sci-Fi",7.7,412618,144,Piąty element,The Fifth Element,1997,0,5,Francja,"Akcja, Sci-Fi",2011-10-20,2.5,"action, sci-fi",0,-2.7,8
tt0119395,movie,The Jackal,The Jackal,0,1997,\N,124,"Action,Crime,Drama",6.4,101519,178,Szakal,The Jackal,1997,0,7,"Francja, Japonia, Niemcy, USA, Wielka Brytania",Sensacyjny,2011-10-20,3.5,sensacyjny,0,0.5999999999999996,6
tt0120382,movie,The Truman Show,The Truman Show,0,1998,\N,103,"Comedy,Drama,Sci-Fi",8.1,865718,189,Truman Show,The Truman Show,1998,0,6,USA,"Dramat, Komedia, Sci-Fi",2011-8-4,3.0,"drama, comedy, sci-fi",0,-2.0999999999999996,8
tt0119223,movie,Great Expectations,Great Expectations,0,1998,\N,111,"Drama,Romance",6.9,49191,197,Wielkie nadzieje,Great Expectations,1998,0,9,USA,Melodramat,2011-9-5,4.5,melodramat,0,2.0999999999999996,7
tt0118799,movie,Life Is Beautiful,La vita è bella,0,1997,\N,116,"Comedy,Drama,Romance",8.6,574171,208,Życie jest piękne,La vita è bella,1997,0,8,Włochy,"Dramat, Komedia, Wojenny",2014-5-9,4.0,"drama, comedy, war",0,-0.5999999999999996,9
tt0120915,movie,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,0,1999,\N,136,"Action,Adventure,Fantasy",6.5,677549,520,Gwiezdne wojny: Część I - Mroczne widmo,Star Wars: Episode I - The Phantom Menace,1999,0,5,USA,"Przygodowy, Sci-Fi",2016-1-24,2.5,"przygodowy, sci-fi",0,-1.5,6
tt0094964,movie,Dead Ringers,Dead Ringers,0,1988,\N,116,"Drama,Horror,Thriller",7.3,37672,572,Nierozłączni,Dead Ringers,1988,0,5,"Kanada, USA","Dramat, Thriller",2017-4-27,2.5,"drama, thriller",0,-2.3,7
tt0116654,movie,The Island of Dr. Moreau,The Island of Dr. Moreau,0,1996,\N,96,"Horror,Sci-Fi,Thriller",4.5,29651,620,Wyspa doktora Moreau,The Island of Dr. Moreau,1996,0,7,USA,"Thriller, Sci-Fi",2015-4-3,3.5,"thriller, sci-fi",0,2.5,4
tt0116922,movie,Lost Highway,Lost Highway,0,1997,\N,134,"Mystery,Thriller",7.6,121954,624,Zagubiona autostrada,Lost Highway,1997,0,7,"Francja, USA","Dramat, Kryminał, Thriller",2011-10-19,3.5,"drama, crime, thriller",0,-0.5999999999999996,8
tt0113627,movie,Leaving Las Vegas,Leaving Las Vegas,0,1995,\N,111,"Drama,Romance",7.5,108945,627,Zostawić Las Vegas,Leaving Las Vegas,1995,0,8,"Francja, USA, Wielka Brytania",Melodramat,2011-10-20,4.0,melodramat,0,0.5,8
tt0133093,movie,The Matrix,The Matrix,0,1999,\N,136,"Action,Sci-Fi",8.7,1562789,628,Matrix,The Matrix,1999,0,8,"Australia, USA","Akcja, Sci-Fi",2011-8-4,4.0,"action, sci-fi",0,-0.6999999999999993,9
