budget,boxoffice,topics_count
55000000,852031557,593
34210862,82286993,89
34210862,82286993,58
34210862,82286993,137
34210862,108333222,215
34210862,82286993,24
34210862,82286993,5
5000000,60582764,28
34210862,82286993,8
34210862,82286993,58
34210862,252442974,137
34210862,82286993,29
100000000,202026112,156
9000000,64503067,49
34210862,3024308,17
22000000,33788161,221
34210862,452458107,171
34210862,3435047,41
34210862,18640313,19
170000000,385900138,188
9000000,41590886,56
34210862,82286993,6
30000000,238532921,37
34210862,82286993,62
50000000,44664690,107
34210862,82286993,6
15000000,49230772,661
24000000,83531958,111
30000000,15001776,351
34210862,82286993,12
34210862,82286993,9
34210862,82286993,3
34210862,82286993,18
34210862,82286993,3
30000000,10027556,19
34210862,120081841,158
34210862,82286993,59
34210862,82286993,228
21000000,112399944,122
160000000,1131788922,158
34210862,82286993,5
20000000,255105930,160
34210862,82286993,32
34210862,82286993,62
34210862,76271037,31
34210862,16540848,93
34210862,82286993,66
34210862,325785782,166
34210862,82286993,8
356000000,2797800564,864
34210862,82286993,16
34210862,82286993,36
34210862,82286993,10
34210862,82286993,49
34210862,82286993,63
34210862,82286993,9
34210862,82286993,3
34210862,12748594,52
200000000,1242805359,119
34210862,8685101,17
34210862,82286993,81
50000000,174504407,127
34210862,14387413,45
34210862,82286993,16
34210862,82286993,33
34210862,82286993,14
34210862,82286993,2
34210862,82286993,47
65000000,40443010,54
15000000,95918706,110
34210862,82286993,10
61097030,392924807,356
34210862,82286993,7
34210862,82286993,22
34210862,82286993,10
6500000,17693675,426
200000000,769679473,1856
34210862,82286993,5
34210862,82286993,0
35000000,157927340,252
34210862,82286993,8
80000000,55041367,67
34210862,82286993,2
34210862,2856954,17
61097030,1128274794,277
2500000,1984315,7
34210862,82286993,9
34210862,1128345,31
16000000,20780685,7
4800000,125479266,96
34210862,82286993,44
34210862,1620637,14
23000000,321752656,165
34210862,2528078,78
15000000,93400823,75
59000000,105697415,178
35000000,29419291,105
34210862,82286993,5
34210862,82286993,55
160000000,1148061807,236
92000000,172989651,722
4000000,65046687,232
12000000,72541301,760
34210862,82286993,135
20000000,246985576,138
52000000,903655259,415
90000000,375540831,117
34210862,82286993,57
50000000,104478416,215
90000000,142940100,663
40000000,27506452,33
34210862,82286993,12
34210862,82286993,14
34210862,82286993,4
34210862,82286993,8
34210862,82286993,212
34210862,82286993,17
50000000,66308758,48
34210862,82286993,18
31000000,41067311,103
100000000,855013954,345
50000000,214115889,116
34210862,82286993,0
34210862,82286993,12
90000000,162360636,195
30000000,80509622,70
20000000,18916623,82
34210862,82286993,6
34210862,29819114,49
150000000,449326618,683
80000000,122444772,370
34210862,82286993,5
30000000,53478166,343
34210862,6153967,45
34210862,82286993,16
28000000,78130625,44
5000000,19280931,123
15000000,12751789,26
34210862,622674139,105
34210862,82286993,15
50000000,9448082,184
34210862,82286993,4
37000000,154026136,383
130000000,530243742,121
35000000,75836683,113
34210862,82286993,44
50000000,55495563,112
10000000,79336821,185
34210862,82286993,11
88000000,160542134,327
30000000,44516999,285
55000000,9450897,65
34210862,82286993,38
34210862,3265545,44
27500000,27038732,136
34210862,82286993,14
62000000,190400157,75
34210862,82286993,10
34210862,82286993,42
70000000,297718711,131
18000000,60738797,696
34210862,82286993,244
34210862,82286993,7
70000000,255000211,133
34210862,82286993,26
34210862,3428048,81
34210862,82286993,14
35000000,59945012,48
34210862,82286993,130
8000000,4970825,40
110000000,785046920,262
34210862,82286993,0
34210862,82286993,197
100000000,167805466,397
20000000,7227038,55
34210862,82286993,32
68000000,55003890,92
34210862,82286993,52
34210862,82286993,52
19000000,6682098,136
8500000,7659918,166
34210862,15636462,53
34210862,82286993,38
6400000,78371200,533
34210862,82286993,32
34210862,28780744,62
175000000,857611174,253
1500000,14293601,30
34210862,82286993,39
34210862,82286993,16
35000000,145374099,65
5000000,12241122,64
34210862,82286993,57
170000000,1304944060,250
37000000,117679066,71
50000000,56996304,82
34210862,82286993,0
34210862,82286993,41
31500000,38803993,93
43000000,62198945,87
34210862,82286993,78
17000000,340677199,269
34210862,82286993,40
30000000,34017028,77
34210862,82286993,47
55000000,352789811,160
34210862,82286993,50
16000000,19682924,143
8495000,12690097,98
34210862,119942387,92
61097030,219672332,345
34210862,82286993,161
115000000,274703340,295
95000000,156505388,163
34210862,82286993,0
94000000,274650803,279
25000000,8381715,50
10000000,78612522,80
34210862,82286993,57
34210862,82286993,71
34210862,82286993,63
34210862,2291901,115
16000000,5371181,85
34210862,82286993,27
34210862,82286993,93
61097030,195243464,355
40000000,32732301,300
69000000,151572634,143
34210862,82286993,30
11000000,53939297,72
20000000,67876281,296
13000000,20722843,292
34210862,82286993,135
34210862,14865110,94
34210862,1502347,61
300000000,657924295,499
34210862,82286993,36
34210862,82286993,26
200000000,1346913161,382
34210862,82286993,3
34210862,82286993,79
61097030,159210164,311
34210862,82286993,28
19000000,45158254,65
5000000,10166820,29
34210862,82286993,67
34210862,82286993,57
35000000,62832209,88
2000000,5904366,59
34210862,82286993,15
34210862,82286993,26
35000000,43084060,188
